player,team,total_shots,total_goals,total_passes,completed_passes,dribbles,interceptions
Keysher Fuller Spence,Costa Rica,3,1,61,247,2,5
Kieffer Roberto Francisco Moore,Wales,6,0,60,340,0,1
Kieran Trippier,England,1,0,195,484,1,1
Kingsley Coman,France,2,0,70,334,12,3
Kléper Laveran Lima Ferreira,Portugal,3,1,295,823,1,3
Ko Itakura,Japan,3,0,111,365,3,4
Krystian Bielik,Poland,2,0,98,352,4,5
Krépin Diatta,Senegal,3,0,76,326,5,1
Kye Rowles,Australia,0,0,195,529,0,5
Kyle Walker,England,0,0,177,493,3,7
Kylian Mbappé Lottin,France,32,9,233,1057,50,1
Kyung-Won Kwon,South Korea,1,0,43,125,0,3
Lautaro Javier Martínez,Argentina,15,1,63,326,8,1
Lawrence Ati-Zigi,Ghana,0,0,76,160,0,0
Leander Dendoncker,Belgium,1,0,119,367,1,2
Leandro Daniel Paredes,Argentina,3,2,240,725,0,3
Leandro Trossard,Belgium,0,0,57,213,4,0
Leon Goretzka,Germany,4,0,59,196,1,2
Leroy Sané,Germany,3,0,56,202,4,1
Lionel Andrés Messi Cuccittini,Argentina,34,9,371,1488,36,0
Lisandro Martínez,Argentina,1,0,154,448,0,3
Lovro Majer,Croatia,5,2,98,356,3,2
Lucas Tolentino Coelho de Lima,Brazil,4,1,202,647,3,2
Luis Alberto Suárez Díaz,Uruguay,2,0,40,179,2,0
Luis Gerardo Chávez Magallón,Mexico,10,1,144,446,3,4
Luka Modrić,Croatia,7,1,549,1690,10,17
Lukas Klostermann,Germany,0,0,47,128,0,1
Luke Shaw,England,3,0,402,1056,1,3
Manuel Neuer,Germany,0,0,123,325,0,0
Manuel Obafemi Akanji,Switzerland,4,1,255,724,1,4
Marcelo Brozović,Croatia,5,1,529,1642,8,10
Marco Asensio Willemsen,Spain,10,1,117,434,3,0
Marcos Aoás Corrêa,Brazil,2,0,359,1026,2,3
Marcos Javier Acuña,Argentina,2,0,217,689,5,3
Marcos Llorente Moreno,Spain,1,0,104,295,0,1
Marcus Rashford,England,11,3,67,279,10,1
Marcus Thuram,France,1,0,45,241,7,2
Mario Pašalić,Croatia,4,1,93,415,5,3
Mark Anthony Kaye,Canada,1,0,57,182,0,1
Marko Livaja,Croatia,7,1,57,317,4,1
Marten de Roon,Netherlands,0,0,122,368,0,1
Martin Hongla Yma II,Cameroon,1,0,64,204,2,3
Mason Mount,England,4,0,74,321,4,1
Mateo Kovačić,Croatia,3,0,456,1542,14,8
Matheus Luiz Nunes,Portugal,1,0,33,116,1,0
Mathew Leckie,Australia,1,1,103,513,14,2
Mathew Ryan,Australia,0,0,163,378,1,0
Mathias Jensen,Denmark,2,0,68,213,1,0
Mathías Olivera Miramontes,Uruguay,2,0,133,413,2,4
Matthew Charles Turner,United States,0,0,126,306,0,0
Matthijs de Ligt,Netherlands,0,0,45,133,0,1
Matty Cash,Poland,1,0,156,451,1,2
Mattéo Guendouzi Olié,France,0,0,32,98,1,0
Matías Nicolás Viña Susperreguy,Uruguay,0,0,20,52,1,0
Matías Vecino Falero,Uruguay,1,0,103,335,2,5
Maya Yoshida,Japan,1,0,227,653,3,9
Mehdi Taremi,Iran,6,2,82,396,5,2
Mehdi Torabi,Iran,2,0,37,139,2,3
Memphis Depay,Netherlands,10,1,127,543,13,1
Meshaal Aissa Barsham,Qatar,0,0,63,144,0,0
Michael Steveen Estrada Martínez,Ecuador,3,0,43,269,2,0
Michy Batshuayi Tunga,Belgium,6,1,23,169,1,0
Miki Yamane,Japan,0,0,33,77,1,1
Mikkel Damsgaard,Denmark,0,0,71,254,0,2
Milad Mohammadi,Iran,0,0,66,221,3,3
Milan Borjan,Canada,0,0,96,231,0,0
Milos Veljkovic,Serbia,0,0,112,325,0,0
Miloš Degenek,Australia,0,0,97,251,3,0
